starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:56 2021	1618450736	6	97	104	97
Thu Apr 15 01:38:56 2021	1618450736	6	98	104	97
Thu Apr 15 01:38:56 2021	1618450736	6	98	104	97
Thu Apr 15 01:38:56 2021	1618450736	6	99	105	98
Thu Apr 15 01:38:56 2021	1618450736	6	99	105	98
Thu Apr 15 01:38:56 2021	1618450736	6	99	105	98
Thu Apr 15 01:38:56 2021	1618450736	6	99	105	98
Thu Apr 15 01:38:56 2021	1618450736	6	99	106	99
Thu Apr 15 01:38:56 2021	1618450736	6	99	106	99
Thu Apr 15 01:38:56 2021	1618450736	6	100	106	99
Thu Apr 15 01:38:56 2021	1618450736	6	100	106	99
Thu Apr 15 01:38:56 2021	1618450736	6	100	106	100
Thu Apr 15 01:38:56 2021	1618450736	6	100	106	100
Thu Apr 15 01:38:56 2021	1618450736	6	101	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	101	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	101	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	101	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	102	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	102	108	101
Thu Apr 15 01:38:56 2021	1618450736	6	102	109	102
Thu Apr 15 01:38:56 2021	1618450736	6	102	109	102
Thu Apr 15 01:38:56 2021	1618450736	6	103	109	102
Thu Apr 15 01:38:56 2021	1618450736	6	103	109	102
Thu Apr 15 01:38:56 2021	1618450736	6	103	110	103
Thu Apr 15 01:38:56 2021	1618450736	6	104	110	103
Thu Apr 15 01:38:56 2021	1618450736	6	104	110	104
Thu Apr 15 01:38:56 2021	1618450736	6	104	110	103
Thu Apr 15 01:38:56 2021	1618450736	6	104	110	103
Thu Apr 15 01:38:56 2021	1618450736	6	104	111	104
Thu Apr 15 01:38:56 2021	1618450736	6	105	111	105
Thu Apr 15 01:38:56 2021	1618450736	6	105	111	105
Thu Apr 15 01:38:56 2021	1618450736	6	105	111	105
Thu Apr 15 01:38:56 2021	1618450736	6	105	112	105
Thu Apr 15 01:38:56 2021	1618450736	6	106	112	106
Thu Apr 15 01:38:56 2021	1618450736	6	106	112	106
Thu Apr 15 01:38:56 2021	1618450736	6	106	112	106
Thu Apr 15 01:38:56 2021	1618450736	6	106	113	106
Thu Apr 15 01:38:56 2021	1618450736	6	106	113	106
Thu Apr 15 01:38:56 2021	1618450736	6	107	113	106
Thu Apr 15 01:38:56 2021	1618450736	6	107	113	107
Thu Apr 15 01:38:56 2021	1618450736	6	107	114	107
Thu Apr 15 01:38:56 2021	1618450736	6	108	114	108
Thu Apr 15 01:38:56 2021	1618450736	6	108	114	108
Thu Apr 15 01:38:56 2021	1618450736	6	108	115	108
Thu Apr 15 01:38:56 2021	1618450736	6	108	115	108
Thu Apr 15 01:38:56 2021	1618450736	6	109	115	108
Thu Apr 15 01:38:56 2021	1618450736	6	109	115	108
Thu Apr 15 01:38:56 2021	1618450736	6	109	115	108
Thu Apr 15 01:38:56 2021	1618450736	6	109	116	109
Thu Apr 15 01:38:56 2021	1618450736	6	109	116	109
Thu Apr 15 01:38:56 2021	1618450736	6	110	116	109
Thu Apr 15 01:38:57 2021	1618450737	0	116	116	116
Thu Apr 15 01:38:56 2021	1618450736	6	110	117	110
Thu Apr 15 01:38:56 2021	1618450736	6	110	117	110
Thu Apr 15 01:38:56 2021	1618450736	6	111	117	110
Thu Apr 15 01:38:56 2021	1618450736	6	111	117	110
Thu Apr 15 01:38:57 2021	1618450737	0	117	117	117
Thu Apr 15 01:38:56 2021	1618450736	6	111	117	110
Thu Apr 15 01:38:57 2021	1618450737	0	117	117	117
Thu Apr 15 01:38:57 2021	1618450737	0	117	117	117
Thu Apr 15 01:38:56 2021	1618450736	6	111	117	110
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	117
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	117
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
Thu Apr 15 01:38:56 2021	1618450736	6	111	118	111
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	117
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	117
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	117
Thu Apr 15 01:38:57 2021	1618450737	0	118	118	118
